article,name,description,manufacturer,supplier,category,unit,price,discount_percent,stock_count,image_path
А112Т4,Ботинки,Женские Ботинки демисезонные kari,Kari,Kari,Женская обувь,шт.,4990,3,6,1.jpg
F635R4,Ботинки,"Ботинки Marco Tozzi женские демисезонные, размер 39, цвет бежевый",Marco Tozzi,Обувь для вас,Женская обувь,шт.,3244,2,13,2.jpg
H782T5,Туфли,"Туфли kari мужские классика MYZ21AW-450A, размер 43, цвет: черный",Kari,Kari,Мужская обувь,шт.,4499,5,5,3.jpg
G783F5,Ботинки,Мужские ботинки Рос-Обувь кожаные с натуральным мехом,Рос,Kari,Мужская обувь,шт.,5900,2,8,4.jpg
J384T6,Ботинки,B3430/14 Полуботинки мужские Rieker,Rieker,Обувь для вас,Мужская обувь,шт.,3800,0,16,5.jpg
D572U8,Кроссовки,129615-4 Кроссовки мужские,Рос,Обувь для вас,Мужская обувь,шт.,4100,3,0,6.jpg
F572H7,Туфли,"Туфли Marco Tozzi женские летние, размер 39, цвет черный",Marco Tozzi,Kari,Женская обувь,шт.,2700,2,14,7.jpg
D329H3,Полуботинки,"Полуботинки Alessio Nesca женские 3-30797-47, размер 37, цвет: бордовый",Alessio Nesca,Обувь для вас,Женская обувь,шт.,1890,0,4,8.jpg
B320R5,Туфли,"Туфли Rieker женские демисезонные, размер 41, цвет коричневый",Rieker,Kari,Женская обувь,шт.,4300,2,6,9.jpg
G432E4,Туфли,"Туфли kari женские TR-YR-413017, размер 37, цвет: черный",Kari,Kari,Женская обувь,шт.,2800,0,15,10.jpg
S213E3,Полуботинки,407700/01-01 Полуботинки мужские CROSBY,CROSBY,Обувь для вас,Мужская обувь,шт.,2156,0,6,
E482R4,Полуботинки,"Полуботинки kari женские MYZ20S-149, размер 41, цвет: черный",Kari,Kari,Женская обувь,шт.,1800,2,14,
S634B5,Кеды,"Кеды Caprice мужские демисезонные, размер 42, цвет черный",CROSBY,Обувь для вас,Мужская обувь,шт.,5500,3,0,
K345R4,Полуботинки,407700/01-02 Полуботинки мужские CROSBY,CROSBY,Обувь для вас,Мужская обувь,шт.,2100,2,3,
O754F4,Туфли,Туфли женские демисезонные Rieker артикул 55073-68/37,Rieker,Обувь для вас,Женская обувь,шт.,5400,4,18,
G531F4,Ботинки,Ботинки женские зимние ROMER арт. 893167-01 Черный,Kari,Kari,Женская обувь,шт.,6600,0,9,
J542F5,Тапочки,Тапочки мужские Арт.70701-55-67,Kari,Kari,Мужская обувь,шт.,500,0,0,
B431R5,Ботинки,Мужские кожаные ботинки/мужские ботинки,Rieker,Обувь для вас,Мужская обувь,шт.,2700,2,5,
P764G4,Туфли,"Туфли женские, ARGO",CROSBY,Kari,Женская обувь,шт.,6800,10,15,
C436G5,Ботинки,"Ботинки женские, ARGO, размер 40",Alessio Nesca,Kari,Женская обувь,шт.,10200,0,0,
F427R5,Ботинки,Ботинки на молнии с декоративной пряжкой FRAU,Rieker,Обувь для вас,Женская обувь,шт.,11800,15,0,
N457T5,Полуботинки,"Полуботинки Ботинки черные зимние, мех",CROSBY,Kari,Женская обувь,шт.,4600,3,13,
D364R4,Туфли,Туфли Luiza Belly женские Kate-lazo черные из натуральной замши,Kari,Kari,Женская обувь,шт.,12400,0,5,
S326R5,Тапочки,"Мужские кожаные тапочки ""Профиль С.Дали""",CROSBY,Обувь для вас,Мужская обувь,шт.,9900,3,15,
L754R4,Полуботинки,"Полуботинки kari женские WB2020SS-26, размер 38, цвет: черный",Kari,Kari,Женская обувь,шт.,1700,2,7,
M542T5,Кроссовки,Кроссовки мужские TOFA,Rieker,Обувь для вас,Мужская обувь,шт.,2800,20,3,
D268G5,Туфли,"Туфли Rieker женские демисезонные, размер 36, цвет коричневый",Rieker,Обувь для вас,Женская обувь,шт.,4399,0,12,
T324F5,Сапоги,Сапоги замша Цвет: синий,CROSBY,Kari,Женская обувь,шт.,4699,2,5,
K358H6,Тапочки,Тапочки мужские син р.41,Rieker,Kari,Мужская обувь,шт.,599,20,2,
H535R5,Ботинки,Женские Ботинки демисезонные,Rieker,Обувь для вас,Женская обувь,шт.,2300,0,7,
